Student_ID,Gender,Age,Study_Hours,Attendance,Previous_Score,Final_Score,Performance
170,Female,21,4.8,74,62,52,Needs Improvement
171,Female,21,6.6,82,61,64,Good
172,Male,20,6.6,71,56,57,Needs Improvement
173,Male,22,4.3,64,35,36,Needs Improvement
174,Female,21,5.0,93,52,65,Good
175,Female,20,5.7,60,82,65,Good
176,Female,22,2.5,78,91,64,Good
177,Male,21,6.7,90,89,76,Good
178,Male,21,7.6,85,83,83,Excellent
179,Male,18,6.6,78,56,63,Good
180,Male,18,2.3,71,53,45,Needs Improvement
181,Male,22,1.0,85,45,38,Needs Improvement
182,Male,21,5.8,72,62,54,Needs Improvement
183,Female,19,3.1,85,71,57,Needs Improvement
184,Male,18,5.0,83,56,59,Needs Improvement
185,Male,22,7.3,84,76,75,Good
186,Male,21,3.3,76,79,58,Needs Improvement
187,Female,21,3.8,100,63,65,Good
188,Male,19,5.0,86,51,50,Needs Improvement
189,Male,22,2.2,79,89,62,Good
190,Female,21,3.1,85,70,52,Needs Improvement
191,Male,18,4.5,74,97,65,Good
192,Male,19,4.0,78,71,55,Needs Improvement
193,Male,22,5.6,100,72,69,Good
194,Male,19,9.5,74,56,59,Needs Improvement
195,Male,18,4.7,81,64,66,Good
196,Female,22,3.0,77,48,42,Needs Improvement
197,Female,19,7.1,72,51,57,Needs Improvement
198,Female,20,1.6,86,80,67,Good
199,Male,18,2.0,82,66,55,Needs Improvement
200,Male,18,3.4,91,64,56,Needs Improvement
201,Male,18,4.0,90,60,58,Needs Improvement
202,Female,20,3.4,91,65,56,Needs Improvement
203,Male,20,4.4,73,86,62,Good
204,Male,21,5.0,88,72,68,Good
205,Female,19,6.4,89,53,56,Needs Improvement
206,Male,21,4.7,72,84,71,Good
207,Female,19,3.5,79,94,74,Good
208,Female,20,6.3,67,77,66,Good
209,Female,20,3.0,89,82,70,Good
210,Male,21,1.6,89,87,62,Good
211,Male,22,6.7,96,47,62,Good
212,Male,21,6.6,80,96,82,Excellent
213,Male,19,3.1,87,85,65,Good
214,Male,21,3.8,92,77,63,Good
215,Male,18,2.8,74,68,57,Needs Improvement
216,Male,19,5.1,73,51,62,Good
217,Female,19,7.6,75,65,63,Good
218,Male,22,5.8,79,76,64,Good
219,Female,20,6.4,73,55,62,Good
220,Male,19,6.0,75,69,63,Good
221,Male,20,4.5,91,53,60,Good
222,Male,21,6.5,81,65,71,Good
223,Female,18,5.8,85,51,46,Needs Improvement
224,Female,22,7.1,76,50,56,Needs Improvement
225,Female,20,3.7,76,75,60,Good
226,Female,19,1.4,85,62,47,Needs Improvement
227,Male,20,6.4,83,63,53,Needs Improvement
228,Female,19,5.1,90,61,52,Needs Improvement
229,Male,20,4.0,95,100,78,Good
230,Male,19,4.1,75,79,61,Good
231,Female,21,9.1,91,80,74,Good
232,Female,19,3.3,71,59,52,Needs Improvement
233,Female,19,3.0,100,77,62,Good
234,Female,18,4.7,74,67,65,Good
235,Female,19,6.6,89,59,59,Needs Improvement
236,Female,18,8.6,71,97,89,Excellent
237,Female,22,5.7,80,78,67,Good
238,Female,18,2.2,97,77,60,Good
239,Male,21,8.0,74,56,57,Needs Improvement
240,Female,18,4.5,100,52,64,Good
241,Female,22,3.0,82,69,61,Good
242,Male,21,2.6,92,62,52,Needs Improvement
243,Female,20,6.0,86,79,71,Good
244,Male,20,4.9,87,80,57,Needs Improvement
245,Male,18,5.1,68,71,54,Needs Improvement
246,Female,18,6.8,77,82,68,Good
247,Male,22,3.1,94,73,59,Needs Improvement
248,Male,22,7.0,79,58,67,Good
249,Male,19,3.6,83,67,49,Needs Improvement
250,Male,22,8.4,67,72,61,Good
251,Female,19,5.6,77,83,71,Good
252,Male,21,2.8,93,73,63,Good
253,Female,18,0.9,69,62,45,Needs Improvement
254,Male,21,6.0,89,84,83,Excellent
255,Male,22,3.8,84,75,66,Good
256,Male,21,4.2,80,92,77,Good
257,Male,21,5.9,79,71,64,Good
258,Female,21,6.3,77,55,54,Needs Improvement
259,Female,22,6.7,78,86,71,Good
260,Male,21,2.4,91,62,60,Good
261,Male,19,7.1,78,74,72,Good
262,Female,22,3.5,100,73,64,Good
263,Male,21,0.5,85,71,56,Needs Improvement
264,Male,22,2.4,76,68,59,Needs Improvement
265,Male,20,4.9,92,47,51,Needs Improvement
266,Female,19,2.7,88,56,50,Needs Improvement
267,Female,21,4.3,65,86,67,Good
268,Female,20,5.1,72,76,55,Needs Improvement
269,Male,20,4.2,81,97,76,Good
270,Male,22,3.6,66,55,43,Needs Improvement
271,Female,20,2.2,100,70,65,Good
272,Female,19,4.5,90,86,82,Excellent
273,Female,19,0.8,82,62,46,Needs Improvement
274,Female,18,3.3,79,63,48,Needs Improvement
275,Male,19,2.8,76,66,54,Needs Improvement
276,Female,20,4.1,62,64,52,Needs Improvement
277,Male,19,4.1,65,77,64,Good
278,Female,22,6.2,100,45,58,Needs Improvement
279,Male,18,7.4,98,93,81,Excellent
280,Female,20,2.5,76,57,50,Needs Improvement
281,Female,18,8.1,91,40,51,Needs Improvement
282,Female,20,3.1,87,70,64,Good
283,Female,22,4.8,88,65,69,Good
284,Male,18,5.4,68,68,53,Needs Improvement
285,Female,21,8.9,64,74,61,Good
286,Male,20,3.5,94,79,64,Good
287,Male,21,1.3,62,94,56,Needs Improvement
288,Male,18,7.2,81,60,56,Needs Improvement
289,Male,21,3.0,78,81,56,Needs Improvement
290,Female,21,3.8,77,80,63,Good
291,Male,18,2.5,85,35,39,Needs Improvement
292,Male,22,3.9,75,58,55,Needs Improvement
293,Male,21,3.0,86,52,48,Needs Improvement
294,Female,21,5.7,83,76,61,Good
295,Female,22,4.6,100,75,68,Good
296,Female,21,3.3,68,75,53,Needs Improvement
297,Female,21,6.3,82,66,66,Good
298,Male,21,5.0,86,67,54,Needs Improvement
299,Male,19,1.2,79,70,43,Needs Improvement
300,Female,22,6.2,69,64,51,Needs Improvement
301,Male,21,4.8,95,81,68,Good
302,Male,22,7.0,85,55,59,Needs Improvement
303,Male,20,4.7,69,59,55,Needs Improvement
304,Female,20,3.1,86,72,57,Needs Improvement
305,Female,21,4.1,99,65,58,Needs Improvement
306,Male,22,5.9,82,54,64,Good
307,Female,22,3.1,82,77,68,Good
308,Female,22,3.7,98,62,64,Good
309,Female,19,4.1,72,58,54,Needs Improvement
310,Female,20,2.4,99,68,62,Good
311,Female,22,3.1,92,57,50,Needs Improvement
312,Male,22,4.8,73,70,61,Good
313,Female,19,6.7,75,65,58,Needs Improvement
314,Male,19,5.1,77,63,53,Needs Improvement
315,Male,22,4.4,64,63,46,Needs Improvement
316,Female,18,3.0,85,84,68,Good
317,Male,22,6.5,73,75,67,Good
318,Male,22,5.3,85,46,51,Needs Improvement
319,Male,19,3.2,69,82,59,Needs Improvement
320,Female,19,6.1,91,77,61,Good
321,Female,22,5.5,89,76,69,Good
322,Male,22,3.0,75,82,61,Good
323,Female,22,4.3,86,70,66,Good
324,Female,19,3.6,83,79,65,Good
325,Female,22,9.2,97,63,75,Good
326,Female,22,5.5,72,82,67,Good
327,Male,21,4.8,80,73,64,Good
328,Male,18,5.4,76,51,58,Needs Improvement
329,Female,20,7.0,82,85,73,Good
330,Female,18,4.3,87,68,64,Good
331,Male,21,3.4,75,66,53,Needs Improvement
332,Male,20,6.0,78,64,60,Good
333,Female,22,4.2,92,65,69,Good
334,Male,21,2.6,96,73,65,Good
335,Female,22,2.2,87,56,48,Needs Improvement
336,Female,19,7.3,81,48,59,Needs Improvement
337,Male,21,4.7,80,55,48,Needs Improvement
338,Male,19,3.4,87,75,62,Good
339,Female,21,4.1,84,68,55,Needs Improvement
340,Female,21,6.0,66,86,71,Good
341,Male,19,4.0,88,69,60,Good
342,Female,20,1.9,73,82,61,Good
343,Male,18,5.1,68,60,59,Needs Improvement
344,Female,22,6.7,65,64,57,Needs Improvement
345,Male,21,6.6,80,70,64,Good
346,Male,22,3.5,72,68,56,Needs Improvement
347,Male,19,6.8,59,67,56,Needs Improvement
348,Female,22,4.9,78,58,56,Needs Improvement
349,Female,19,6.7,77,48,55,Needs Improvement
350,Male,22,5.5,81,79,69,Good
351,Female,18,1.8,76,77,60,Good
352,Male,18,7.6,100,61,60,Good
353,Male,18,4.6,87,75,59,Needs Improvement
354,Female,18,5.5,77,68,56,Needs Improvement
355,Female,18,2.1,81,85,64,Good
356,Male,18,5.4,96,52,57,Needs Improvement
357,Female,19,6.5,92,68,56,Needs Improvement
358,Female,21,8.0,68,67,74,Good
359,Male,22,7.0,72,72,56,Needs Improvement
360,Male,18,5.5,74,92,73,Good
361,Female,19,1.7,78,68,56,Needs Improvement
362,Male,19,4.7,76,80,62,Good
363,Male,19,3.4,82,68,61,Good
364,Female,21,4.9,89,85,66,Good
365,Male,22,2.3,91,81,65,Good
366,Male,21,4.1,79,65,47,Needs Improvement
367,Female,20,3.6,66,64,59,Needs Improvement
368,Female,19,3.5,72,77,61,Good
369,Male,20,3.5,77,61,46,Needs Improvement
370,Male,18,4.3,70,73,63,Good
371,Female,18,5.0,93,65,71,Good
372,Female,21,0.5,70,75,48,Needs Improvement
373,Female,22,0.5,88,68,52,Needs Improvement
374,Female,20,3.9,65,60,49,Needs Improvement
375,Male,22,4.1,89,85,66,Good
376,Female,21,4.8,81,73,59,Needs Improvement
377,Female,18,3.2,97,69,58,Needs Improvement
378,Male,22,4.5,71,76,59,Needs Improvement
379,Female,22,4.7,76,47,48,Needs Improvement
380,Male,18,3.2,78,99,70,Good
381,Female,20,6.3,80,70,69,Good
382,Female,18,4.8,79,43,52,Needs Improvement
383,Female,22,5.5,79,87,64,Good
384,Male,20,4.6,79,59,53,Needs Improvement
385,Male,20,8.3,61,85,79,Good
386,Female,18,5.6,92,72,69,Good
387,Male,22,3.6,100,48,55,Needs Improvement
388,Male,21,6.0,85,74,69,Good
389,Male,22,1.6,71,73,53,Needs Improvement
390,Male,19,4.7,72,86,67,Good
391,Male,21,5.1,88,77,66,Good
392,Male,20,4.7,86,53,59,Needs Improvement
393,Female,21,3.9,79,84,64,Good
394,Female,20,2.7,90,64,56,Needs Improvement
395,Male,20,3.1,61,94,69,Good
396,Female,21,4.7,90,65,60,Good
397,Female,20,2.5,84,67,56,Needs Improvement
398,Female,20,7.7,72,58,59,Needs Improvement
399,Female,19,0.5,68,63,46,Needs Improvement
400,Male,22,3.9,83,59,54,Needs Improvement
401,Female,22,4.7,96,86,70,Good
402,Female,19,5.4,80,51,50,Needs Improvement
403,Male,21,2.9,73,81,60,Good
404,Male,18,6.5,84,82,77,Good
405,Female,18,2.0,100,89,72,Good
406,Female,18,3.5,86,71,53,Needs Improvement
407,Female,19,5.6,87,56,56,Needs Improvement
408,Female,19,6.4,94,68,64,Good
409,Female,20,2.0,87,78,53,Needs Improvement
410,Female,18,9.3,74,71,72,Good
411,Male,21,2.9,65,75,56,Needs Improvement
412,Female,21,2.1,73,89,74,Good
413,Female,18,5.4,71,78,63,Good
414,Male,18,3.9,89,73,59,Needs Improvement
415,Male,18,3.6,90,44,44,Needs Improvement
416,Male,19,5.6,84,59,57,Needs Improvement
417,Male,19,1.8,69,64,53,Needs Improvement
418,Female,19,1.4,100,42,49,Needs Improvement
419,Female,22,3.4,78,54,65,Good
420,Female,21,6.4,88,66,59,Needs Improvement
421,Female,21,3.5,82,69,59,Needs Improvement
422,Female,20,7.4,84,77,68,Good
423,Female,19,6.7,88,67,68,Good
424,Male,22,5.0,75,73,69,Good
425,Female,22,5.1,95,64,67,Good
426,Male,21,5.0,66,71,54,Needs Improvement
427,Male,19,4.8,72,76,66,Good
428,Female,20,3.8,95,91,62,Good
429,Male,19,4.0,88,63,47,Needs Improvement
430,Female,18,2.6,100,72,61,Good
431,Male,19,0.5,83,82,62,Good
432,Female,18,6.5,99,50,62,Good
433,Male,18,4.8,63,98,81,Excellent
434,Female,20,4.5,68,87,67,Good
435,Female,21,5.2,91,46,53,Needs Improvement
436,Female,19,3.0,65,75,63,Good
437,Female,18,2.7,80,62,51,Needs Improvement
438,Female,19,4.0,94,64,62,Good
439,Male,21,7.0,87,75,73,Good
440,Male,21,2.4,82,85,59,Needs Improvement
441,Male,22,0.5,78,63,50,Needs Improvement
442,Female,21,3.6,84,64,68,Good
443,Male,20,6.6,88,75,76,Good
444,Female,18,1.4,75,78,53,Needs Improvement
445,Female,22,2.4,86,56,63,Good
446,Male,20,5.0,93,94,80,Excellent
447,Male,19,9.1,80,61,69,Good
448,Female,18,2.1,83,84,63,Good
449,Male,21,2.0,87,76,63,Good
450,Female,18,5.1,88,78,69,Good
451,Female,19,6.7,91,61,64,Good
452,Female,22,3.4,72,46,45,Needs Improvement
453,Female,22,1.6,77,70,59,Needs Improvement
454,Female,22,5.3,77,70,67,Good
455,Male,21,5.6,73,57,55,Needs Improvement
456,Male,20,7.7,64,83,63,Good
457,Female,20,5.7,50,69,57,Needs Improvement
458,Female,18,6.0,94,59,59,Needs Improvement
459,Male,21,4.0,66,78,58,Needs Improvement
460,Male,22,8.9,98,79,78,Good
461,Female,22,3.8,89,60,51,Needs Improvement
462,Male,19,3.4,78,87,58,Needs Improvement
463,Female,19,7.8,88,100,86,Excellent
464,Male,22,1.8,86,55,49,Needs Improvement
465,Female,22,1.2,71,67,50,Needs Improvement
466,Male,21,4.7,82,75,67,Good
467,Female,20,4.5,72,100,70,Good
468,Male,19,4.1,89,60,59,Needs Improvement
469,Male,20,6.3,75,57,64,Good
470,Female,21,2.9,81,57,50,Needs Improvement
471,Male,22,4.6,81,87,79,Good
472,Female,20,3.9,83,60,56,Needs Improvement
473,Male,22,2.9,99,58,52,Needs Improvement
474,Female,22,4.4,80,73,67,Good
475,Male,18,6.0,94,74,69,Good
476,Female,20,8.3,87,85,83,Excellent
477,Male,20,5.5,96,71,69,Good
478,Female,22,0.5,79,73,52,Needs Improvement
479,Male,21,4.4,89,69,70,Good
480,Female,18,4.6,81,52,50,Needs Improvement
481,Female,22,6.2,52,67,46,Needs Improvement
482,Female,19,4.8,71,71,65,Good
483,Male,19,6.8,88,64,67,Good
484,Female,18,5.2,87,48,60,Good
485,Male,21,7.3,69,54,53,Needs Improvement
486,Female,22,3.7,84,69,59,Needs Improvement
487,Male,20,4.8,87,83,68,Good
488,Female,18,6.0,82,94,81,Excellent
489,Male,21,3.5,89,67,63,Good
490,Male,20,3.1,88,60,56,Needs Improvement
491,Female,19,3.4,82,65,58,Needs Improvement
492,Male,19,3.2,77,55,45,Needs Improvement
493,Male,20,5.4,92,81,75,Good
494,Female,18,1.2,87,100,74,Good
495,Male,19,1.7,68,60,59,Needs Improvement
496,Male,22,7.9,84,53,64,Good
497,Male,20,3.2,70,84,66,Good
498,Female,20,4.9,72,74,65,Good
499,Male,19,1.8,75,75,53,Needs Improvement
500,Female,18,4.7,82,92,79,Good
501,Male,22,3.2,86,51,50,Needs Improvement
502,Male,18,1.7,78,50,44,Needs Improvement
503,Male,21,6.9,78,68,64,Good
504,Female,21,6.6,77,71,65,Good
505,Male,19,4.3,92,65,58,Needs Improvement
506,Male,19,6.3,53,100,75,Good
507,Female,19,7.9,79,66,66,Good
508,Male,21,5.9,97,62,63,Good
509,Female,18,5.4,87,72,68,Good
510,Female,18,4.9,95,84,72,Good
511,Male,19,5.7,62,60,52,Needs Improvement
512,Female,22,3.8,70,68,53,Needs Improvement
513,Male,18,4.0,87,84,69,Good
514,Female,21,5.3,98,85,70,Good
515,Female,20,3.6,71,73,54,Needs Improvement
516,Male,20,3.8,78,100,69,Good
517,Female,20,4.5,86,98,77,Good
518,Female,22,6.6,67,50,59,Needs Improvement
519,Female,19,2.5,87,46,48,Needs Improvement
520,Female,21,5.9,55,81,68,Good
521,Female,22,5.9,87,89,74,Good
522,Male,21,5.9,72,67,62,Good
523,Female,21,3.0,78,63,62,Good
524,Male,19,1.5,89,59,55,Needs Improvement
525,Female,20,5.5,86,54,62,Good
526,Male,19,4.8,82,86,69,Good
527,Male,22,6.3,92,65,65,Good
528,Female,22,3.2,65,74,59,Needs Improvement
529,Female,22,5.9,84,44,50,Needs Improvement
530,Female,19,6.4,74,84,59,Needs Improvement
531,Male,21,4.3,91,78,69,Good
532,Female,21,5.3,89,51,61,Good
533,Male,18,5.2,89,74,67,Good
534,Male,22,3.0,98,70,59,Needs Improvement
535,Male,21,5.5,93,64,62,Good
536,Female,18,7.4,80,35,41,Needs Improvement
537,Female,21,4.5,82,61,56,Needs Improvement
538,Male,22,1.9,88,74,53,Needs Improvement
539,Male,20,3.3,83,62,52,Needs Improvement
540,Female,22,1.3,89,67,49,Needs Improvement
541,Male,19,6.8,60,91,65,Good
542,Female,21,5.9,100,69,63,Good
543,Male,21,3.6,83,41,49,Needs Improvement
544,Female,19,1.9,66,67,48,Needs Improvement
545,Male,19,3.0,73,71,51,Needs Improvement
546,Female,20,3.4,61,58,53,Needs Improvement
547,Male,21,4.7,71,80,65,Good
548,Female,21,4.6,81,50,40,Needs Improvement
549,Female,20,6.9,97,68,74,Good
550,Male,18,3.3,86,49,50,Needs Improvement
551,Male,20,1.8,84,66,58,Needs Improvement
552,Female,22,2.4,71,80,58,Needs Improvement
553,Male,21,4.5,74,68,67,Good
554,Female,19,3.2,75,67,54,Needs Improvement
555,Male,22,4.0,75,70,46,Needs Improvement
556,Female,21,3.7,78,71,55,Needs Improvement
557,Female,20,6.3,79,80,72,Good
558,Female,22,3.4,79,80,64,Good
559,Female,21,3.8,75,90,67,Good
560,Female,18,5.8,83,72,61,Good
561,Female,18,3.5,79,47,48,Needs Improvement
562,Male,19,5.3,66,82,65,Good
563,Male,21,5.1,82,89,72,Good
564,Male,18,4.8,81,100,79,Good
565,Female,20,2.5,66,90,64,Good
566,Female,21,6.7,76,63,60,Good
567,Female,20,8.5,88,73,68,Good
568,Female,20,4.5,71,66,64,Good
569,Male,18,2.6,70,64,62,Good
570,Male,21,4.6,79,68,69,Good
571,Female,22,6.3,88,88,79,Good
572,Male,18,3.4,100,48,44,Needs Improvement
573,Male,18,4.3,89,56,47,Needs Improvement
574,Female,21,5.1,93,87,71,Good
575,Male,21,6.7,85,90,76,Good
576,Female,20,5.9,75,61,58,Needs Improvement
577,Male,21,6.0,89,93,78,Good
578,Female,20,3.7,81,84,59,Needs Improvement
579,Female,18,5.2,86,66,70,Good
580,Female,19,3.2,73,36,48,Needs Improvement
581,Female,22,6.0,87,47,48,Needs Improvement
582,Male,18,6.6,81,61,52,Needs Improvement
583,Female,21,5.5,84,81,69,Good
584,Female,22,3.8,81,81,71,Good
585,Female,19,4.1,79,63,56,Needs Improvement
586,Male,19,7.8,87,67,70,Good
587,Female,20,3.9,78,70,57,Needs Improvement
588,Male,22,6.4,66,67,61,Good
589,Female,20,5.1,63,72,64,Good
590,Male,18,3.9,84,70,63,Good
591,Male,22,2.1,78,47,47,Needs Improvement
592,Female,18,4.9,65,67,49,Needs Improvement
593,Male,20,4.7,83,70,73,Good
594,Female,22,7.8,81,84,67,Good
595,Female,20,3.0,77,58,52,Needs Improvement
596,Female,22,8.6,84,73,72,Good
597,Male,20,5.2,95,78,69,Good
598,Male,19,5.2,95,68,69,Good
599,Female,20,3.4,83,45,44,Needs Improvement
600,Female,19,5.1,81,84,67,Good
601,Male,20,5.4,84,80,63,Good
602,Female,22,6.2,85,73,73,Good
603,Female,22,2.7,79,71,59,Needs Improvement
604,Female,22,7.0,84,45,59,Needs Improvement
605,Male,21,5.2,66,81,69,Good
606,Male,18,5.6,83,91,84,Excellent
607,Male,22,4.1,87,54,63,Good
608,Female,19,2.8,77,89,67,Good
609,Female,22,4.6,81,86,70,Good
610,Female,21,4.8,71,54,49,Needs Improvement
611,Male,19,2.0,69,64,54,Needs Improvement
612,Female,21,5.9,84,50,59,Needs Improvement
613,Female,19,6.3,75,69,60,Good
614,Female,20,3.2,64,76,61,Good
615,Female,18,2.7,71,52,52,Needs Improvement
616,Male,18,4.0,72,75,55,Needs Improvement
617,Male,21,4.5,90,79,69,Good
618,Female,18,4.0,84,79,65,Good
619,Male,21,4.4,73,76,62,Good
620,Male,21,4.9,76,53,48,Needs Improvement
621,Female,21,2.0,95,68,49,Needs Improvement
622,Female,18,2.2,91,75,57,Needs Improvement
623,Male,21,0.5,71,90,55,Needs Improvement
624,Female,18,6.2,94,70,70,Good
625,Male,21,4.5,81,76,66,Good
626,Female,22,6.4,90,57,63,Good
